Country,Population,Area,GDP,Continent
Singapore,5850342,700,372062.53,Asia
Slovakia,5459642,48088,105422.3,Europe
Slovenia,2078938,20140,53742.16,Europe
Somalia,15893222,627340,917.04,Africa
South Africa,59308690,1213090,351431.65,Africa
South Sudan,11193725,610952,11997.8,Africa
Spain,46754778,498800,1394116.31,Europe
Sri Lanka,21413249,62710,84008.78,Asia
Sudan,43849260,1765048,18902.28,Africa
Suriname,586632,156000,3985.25,America
Sweden,10099265,410340,530832.91,Europe
Switzerland,8654622,39516,703082.44,Europe
Syria,17500658,183630,40405.01,Asia
Taiwan,23816775,35410,589391,Asia
Tajikistan,9537645,139960,8116.63,Asia
Tanzania,59734218,885800,63177.07,Africa
Thailand,69799978,510890,543649.98,Asia
Timor-Leste,1318445,14870,1673.54,Asia
Togo,8278724,54390,5459.98,Africa
Trinidad and Tobago,1399488,5130,24100.2,America
Tunisia,11818619,155360,38797.71,Africa
Turkey,84339067,769630,754411.71,Europe
Uganda,45741007,199810,34387.23,Africa
Ukraine,43733762,579320,153781.07,Europe
United Arab Emirates,9890402,83600,421142.27,Asia
United Kingdom,68517621,257180,2857480.18,Europe
United States,334308644,9158020,21544825,America
Uruguay,3473730,175020,56045.91,America
Uzbekistan,33469203,425400,57921.29,Asia
Venezuela,28435940,882050,482359.32,America
Vietnam,97338579,310070,261921.24,Asia
West Bank and Gaza,5101414,6020,14615.9,Asia
Western Sahara,597339,266000,908.9,Africa
Yemen,29825964,527970,27591.26,Asia
Zambia,18383955,743390,23064.72,Africa
Zimbabwe,14862924,386850,21440.76,Africa
