ResponseId,Group,Correct,Regret,Female,Age,Educ,Income,Ideology,PID,PID0,PID1,PID2,PID3,Knowledge,Voted,VotedAnaya,VotedObrador,NewVote,ExtEffi,IntEffi,Trust_Media,Satisficer,M1,M2,M3,M,W
R_3iVWqYDMx3RCfnu,Treat2,5,0,1,53,3,9,0,Etc,1,0,0,0,1,1,0,1,0,3,2,1,0,0,0,0,0,6.300476699029127
R_2SIRSTZvEoxzKn1,Treat2,4,0,0,36,6,16,3,Etc,1,0,0,0,1,1,0,1,0,4,4,2,0,0,1,0,1,4.16821308411215
R_2ahPzln9vFzRMqn,Treat2,5,1,1,50,5,8,8,PRI-PVEM-PNA,0,0,1,0,0,0,0,0,2,2,2,4,0,0,1,0,1,6.300476699029127
R_3sdKCkTT64N2k38,Treat1,5,0,0,47,5,10,5,PRI-PVEM-PNA,0,0,1,0,2,1,0,0,0,5,5,5,0,1,0,0,1,4.225684916201117
R_VX1R6d9saJe0OVb,Treat1,5,0,0,28,5,20,5,MORENA-PT-PES,0,0,0,1,2,1,0,1,0,4,5,4,0,1,0,0,1,6.549394949494949
R_2ZDi5aZlrYbNR7r,Treat1,4,0,1,36,5,11,10,PRI-PVEM-PNA,0,0,1,0,0,1,0,1,0,5,5,1,0,0,0,0,0,4.367588288288288
R_1eQ5ZSZnvDJl6wW,Treat2,4,0,0,35,5,9,4,MORENA-PT-PES,0,0,0,1,1,1,0,1,0,4,5,4,0,0,1,0,1,4.16821308411215
R_yF2wmciFkiMfH7X,Treat1,4,0,1,47,6,19,5,MORENA-PT-PES,0,0,0,1,0,1,0,1,0,4,5,3,0,1,0,0,1,4.95065380116959
R_2xLcCRoHiobtYk2,Treat1,1,1,0,47,6,14,8,Etc,1,0,0,0,2,1,0,1,2,5,5,4,0,0,0,0,0,4.225684916201117
R_1qaMVmA54pYPxBR,Treat2,3,1,1,43,5,19,6,Etc,1,0,0,0,3,0,0,0,2,4,5,4,0,0,1,0,1,4.95065380116959
R_1H2R3BV4vfxFbeF,Control,2,1,0,43,6,16,6,Etc,1,0,0,0,1,1,0,1,1,4,5,2,0,0,0,1,1,4.225684916201117
R_31XArJFx8362L2r,Control,5,0,0,41,5,9,3,MORENA-PT-PES,0,0,0,1,2,1,0,1,0,5,5,3,0,0,0,1,1,4.225684916201117
R_3CBlzxrX6HuiZML,Control,3,1,1,30,5,12,5,PAN-PRD-MC,0,1,0,0,1,1,0,1,1,2,4,2,0,0,0,1,1,4.367588288288288
R_3EsxJQxotTjx95z,Treat1,5,0,0,18,5,12,5,MORENA-PT-PES,0,0,0,1,0,1,0,1,0,4,2,5,0,1,0,0,1,6.549394949494949
R_31nk3Zd9NQ6aCuj,Control,5,0,1,46,4,3,1,MORENA-PT-PES,0,0,0,1,1,1,0,1,0,5,5,5,0,0,0,1,1,4.95065380116959
R_1rMK4yZTPJsBIz6,Treat2,5,0,0,21,4,8,5,MORENA-PT-PES,0,0,0,1,0,1,0,1,0,5,5,3,0,0,0,0,0,6.549394949494949
R_3hokCOfNzMSavrr,Treat1,4,0,0,37,5,16,5,Etc,1,0,0,0,2,1,0,1,0,4,4,2,0,0,0,0,0,4.16821308411215
R_3O0SMNzwL9qcGXX,Treat2,5,0,1,23,3,5,9,MORENA-PT-PES,0,0,0,1,1,1,0,1,0,5,5,5,0,0,1,0,1,6.530403045685278
R_27U8D9cdXHauxCN,Control,5,0,1,54,5,4,9,Etc,1,0,0,0,2,1,0,1,0,5,5,4,0,0,0,1,1,6.300476699029127
R_2QFn39jNNtLuXHQ,Treat2,4,0,1,38,5,4,1,MORENA-PT-PES,0,0,0,1,3,1,0,1,0,4,5,2,0,0,1,0,1,4.367588288288288
R_1rdgZPOhBE58HQq,Treat2,5,0,0,36,5,4,4,Etc,1,0,0,0,0,1,0,1,0,5,1,1,0,0,1,0,1,4.16821308411215
R_UYqB4dt9E0FXnMJ,Treat2,5,0,0,35,5,19,8,MORENA-PT-PES,0,0,0,1,1,1,0,1,0,4,4,2,0,0,1,0,1,4.16821308411215
R_1PdPMUZVLvtNAwC,Treat1,5,0,0,47,5,11,10,Etc,1,0,0,0,1,1,0,0,0,5,3,5,0,1,0,0,1,4.225684916201117
R_1QaaJEnetjtG669,Treat2,4,0,0,40,3,7,5,Etc,1,0,0,0,2,1,0,1,0,5,5,3,0,0,1,0,1,4.225684916201117
R_3KPHW4LXvOOv18Y,Control,4,0,1,53,5,2,6,Etc,1,0,0,0,0,1,0,1,0,2,4,1,0,0,0,1,1,6.300476699029127
R_VQpOB94D72Qav3X,Treat1,4,0,0,38,6,19,8,PAN-PRD-MC,0,1,0,0,3,1,0,1,0,4,4,4,0,1,0,0,1,4.16821308411215
R_1DMVbicu9NcKnC5,Treat2,5,0,0,56,5,5,3,MORENA-PT-PES,0,0,0,1,2,1,0,1,0,5,5,4,0,0,0,0,0,4.510031297709924
R_10A8oN0keD7lwtU,Treat2,5,0,0,38,3,10,5,Etc,1,0,0,0,2,1,0,0,0,5,5,3,0,0,1,0,1,4.16821308411215
R_1Dp7ZB1f3qwtl8l,Control,4,0,0,47,5,14,3,Etc,1,0,0,0,1,1,0,1,0,1,2,4,0,0,0,1,1,4.225684916201117
